fecha,neba,testMAE,max_trainMAE,anomaly,neba_real
2021-01-27 07:30:00,-0.7305745306189453,1.0444834424658311,1.4,False,1134.0
2021-01-27 08:00:00,-0.6215187838274292,1.0424683334317368,1.4,False,1521.0
2021-01-27 08:30:00,-0.6141920411489294,1.0170876043737214,1.4,False,1547.0
2021-01-27 09:00:00,-0.6119376587863141,1.0142634206378534,1.4,False,1555.0
2021-01-27 09:30:00,-0.5950297910666992,1.0134255548639246,1.4,False,1615.0
2021-01-27 10:00:00,-0.5761493387797959,1.0091824895652342,1.4,False,1682.0
2021-01-27 10:30:00,-0.5465605702704699,1.004349811429991,1.4,False,1787.0
2021-01-27 11:00:00,-0.4837196619125678,0.9973223205994993,1.4,False,2010.0
2021-01-27 11:30:00,-0.20502164233424897,0.9834533932518356,1.4,False,2999.0
2021-01-27 12:00:00,0.2607901133411414,0.9369385037391605,1.4,False,4652.0
2021-01-27 12:30:00,0.5755582507213054,0.9309274785359838,1.4,False,5769.0
2021-01-27 13:00:00,0.6155735376577273,1.0335956759639728,1.4,False,5911.0
2021-01-27 13:30:00,0.6877137732614175,1.0447081380826828,1.4,False,6167.0
2021-01-27 14:00:00,0.755345244139877,1.0661570857804759,1.4,False,6407.0
2021-01-27 14:30:00,0.8173407591117984,1.0896998206960127,1.4,False,6627.0
2021-01-27 15:00:00,0.854819865890278,1.1127929054908843,1.4,False,6760.0
2021-01-27 15:30:00,0.8993439175519305,1.126863499101841,1.4,False,6918.0
2021-01-27 16:00:00,0.9630302192958133,1.1441042696737032,1.4,False,7144.0
2021-01-27 16:30:00,1.0162900026126003,1.1717281135279098,1.4,False,7333.0
2021-01-27 17:00:00,1.169306205475115,1.1961745259271914,1.4,False,7876.0
2021-01-27 17:30:00,1.3257039818815528,1.277547219784743,1.4,False,8431.0
2021-01-27 18:00:00,1.358110728344148,1.3741640783062292,1.4,False,8546.0
2021-01-27 18:30:00,1.3885448902394548,1.3949950381141916,1.4,False,8654.0
2021-01-27 19:00:00,1.4088343315029928,1.4101536494505933,1.4,True,8726.0
2021-01-27 19:30:00,1.4322235485151267,1.4209318223265255,1.4,True,8809.0
2021-01-27 20:00:00,1.4499768096207224,1.4341683450636455,1.4,True,8872.0
2021-01-27 20:30:00,1.4499768096207224,1.4443193488340174,1.4,True,8872.0
2021-01-27 21:00:00,1.453921978755299,1.4421021595634398,1.4,True,8886.0
2021-01-27 21:30:00,1.4601215302524913,1.4423368068562044,1.4,True,8908.0
2021-01-27 22:00:00,1.4632213060010872,1.444654491921152,1.4,True,8919.0
2021-01-27 22:30:00,1.464348497182395,1.445133328028007,1.4,True,8923.0
2021-01-27 23:00:00,1.4750568134048179,1.4443052568132424,1.4,True,8961.0
2021-01-27 23:30:00,1.4953462546683556,1.4504583967233688,1.4,True,9033.0
2021-01-28 00:00:00,-1.050133230519667,1.463816006142332,1.4,True,-4.547473508864641e-13
2021-01-28 00:30:00,-1.0137813149224948,1.2183446180055724,1.4,False,129.0
2021-01-28 01:00:00,-1.010399741378572,1.193788651759203,1.4,False,140.99999999999955
2021-01-28 01:30:00,-0.9982824361795145,1.1873928422329767,1.4,False,184.0
2021-01-28 02:00:00,-0.9963098516122261,1.1709898722114096,1.4,False,191.0
2021-01-28 02:30:00,-0.9943372670449376,1.161115530375647,1.4,False,198.0
2021-01-28 03:00:00,-0.9943372670449376,1.152078072791501,1.4,False,198.0
2021-01-28 03:30:00,-0.9653120941262654,1.1439722055568167,1.4,False,301.0
2021-01-28 04:00:00,-0.9450226528627276,1.1238483596195388,1.4,False,373.0
2021-01-28 04:30:00,-0.9419228771141315,1.1080608711768865,1.4,False,384.0
2021-01-28 05:00:00,-0.9419228771141315,1.0988149896084398,1.4,False,384.0
2021-01-28 05:30:00,-0.9419228771141315,1.0913391716467429,1.4,False,384.0
2021-01-28 06:00:00,-0.9410774837281507,1.084581408542376,1.4,False,387.0
2021-01-28 06:30:00,-0.7519911630637909,1.078630691299266,1.4,False,1058.0
2021-01-28 07:00:00,-0.7477641961338871,1.0221797141236717,1.4,False,1073.0
2021-01-28 07:30:00,-0.7085943025834459,1.0188328242789788,1.4,False,1212.0
2021-01-28 08:00:00,-0.6987313797470039,1.0098691149180763,1.4,False,1247.0
2021-01-28 08:30:00,-0.5640320335807386,1.0072024918211406,1.4,False,1725.0
2021-01-28 09:00:00,-0.5440243901125277,0.9799072054112181,1.4,False,1795.9999999999998
2021-01-28 09:30:00,-0.5189443863284322,0.9750998498325852,1.4,False,1885.0
2021-01-28 10:00:00,-0.4980913494742405,0.9704534671169764,1.4,False,1959.0
2021-01-28 10:30:00,-0.433559654344377,0.9662959823266427,1.4,False,2188.0
2021-01-28 11:00:00,-0.3808634666182439,0.9566898586656118,1.4,False,2375.0
2021-01-28 11:30:00,-0.2827978338444775,0.9497428538099905,1.4,False,2723.0
2021-01-28 12:00:00,-0.2092486092641527,0.9396507259970419,1.4,False,2984.0
2021-01-28 12:30:00,-0.1509164656314813,0.9335661973969064,1.4,False,3191.0
2021-01-28 13:00:00,-0.10780140294646333,0.9291612496286098,1.4,False,3344.0
2021-01-28 13:30:00,-0.07032229616798365,0.9257662636677014,1.4,False,3477.0
2021-01-28 14:00:00,-0.026080042301658005,0.9239631395700701,1.4,False,3634.0
2021-01-28 14:30:00,0.011117266681494766,0.9228832320027446,1.4,False,3766.0
2021-01-28 15:00:00,0.04690558668801296,0.9225165389239168,1.4,False,3893.0
2021-01-28 15:30:00,0.08100311992256967,0.922525007110159,1.4,False,4014.0
